[07:59:40] 🔇 [quiet-window] 进入 pre_quiet，owner=1774712054103，fire_at=08:00:00
[08:00:05] 🔫 [quiet-window] 进入 fire_window，owner=1774712054103
[08:00:05] ⏰ [自动任务] 开始执行任务: 1774712054103
[08:00:05] 🕒 [时间对齐] server_offset=0.0s, base_run=2026-03-29 08:00:00, target_date=2026-03-31
[08:00:42] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:43] [极速订场] refill 矩阵完成 fetch_n=24 wall=08:00:39.045 elapsed_ms=1223
[08:00:43] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:45] [极速订场] refill 矩阵完成 fetch_n=25 wall=08:00:40.409 elapsed_ms=1010
[08:00:45] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:46] [极速订场] refill 矩阵完成 fetch_n=26 wall=08:00:42.074 elapsed_ms=1313
[08:00:46] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:47] [极速订场] refill 矩阵完成 fetch_n=27 wall=08:00:43.266 elapsed_ms=838
[08:00:47] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:49] [极速订场] refill 矩阵完成 fetch_n=28 wall=08:00:44.640 elapsed_ms=1020
[08:00:49] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:50] [极速订场] refill 矩阵完成 fetch_n=29 wall=08:00:45.871 elapsed_ms=878
[08:00:50] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:51] [极速订场] refill 矩阵完成 fetch_n=30 wall=08:00:47.218 elapsed_ms=993
[08:00:51] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:53] [极速订场] refill 矩阵完成 fetch_n=31 wall=08:00:48.815 elapsed_ms=1243
[08:00:53] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:55] [极速订场] refill 矩阵完成 fetch_n=32 wall=08:00:50.485 elapsed_ms=1317
[08:00:55] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:56] [极速订场] refill 矩阵完成 fetch_n=33 wall=08:00:52.018 elapsed_ms=1179
[08:00:56] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:58] [极速订场] refill 矩阵完成 fetch_n=34 wall=08:00:53.333 elapsed_ms=961
[08:00:58] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:59] [极速订场] refill 矩阵完成 fetch_n=35 wall=08:00:54.736 elapsed_ms=1049
[08:00:59] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:00] [极速订场] refill 矩阵完成 fetch_n=36 wall=08:00:56.075 elapsed_ms=985
[08:01:00] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:02] [极速订场] refill 矩阵完成 fetch_n=37 wall=08:00:57.473 elapsed_ms=1044
[08:01:02] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:03] [极速订场] refill 矩阵完成 fetch_n=38 wall=08:00:58.643 elapsed_ms=817
[08:01:03] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:04] [极速订场] refill 矩阵完成 fetch_n=39 wall=08:01:00.059 elapsed_ms=1061
[08:01:04] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:06] [极速订场] refill 矩阵完成 fetch_n=40 wall=08:01:01.549 elapsed_ms=1137
[08:01:06] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:08] [极速订场] refill 矩阵完成 fetch_n=41 wall=08:01:03.322 elapsed_ms=1420
[08:01:08] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:09] [极速订场] refill 矩阵完成 fetch_n=42 wall=08:01:04.969 elapsed_ms=1294
[08:01:09] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:11] [极速订场] refill 矩阵完成 fetch_n=43 wall=08:01:06.423 elapsed_ms=1102
[08:01:11] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:12] [极速订场] refill 矩阵完成 fetch_n=44 wall=08:01:07.917 elapsed_ms=1140
[08:01:12] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:13] [极速订场] refill 矩阵完成 fetch_n=45 wall=08:01:09.195 elapsed_ms=925
[08:01:13] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:15] [极速订场] refill 矩阵完成 fetch_n=46 wall=08:01:10.551 elapsed_ms=1002
[08:01:15] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:16] [极速订场] refill 矩阵完成 fetch_n=47 wall=08:01:11.914 elapsed_ms=1010
[08:01:16] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:18] [极速订场] refill 矩阵完成 fetch_n=48 wall=08:01:13.319 elapsed_ms=1051
[08:01:18] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:19] [极速订场] refill 矩阵完成 fetch_n=49 wall=08:01:14.525 elapsed_ms=851
[08:01:19] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:20] [极速订场] refill 矩阵完成 fetch_n=50 wall=08:01:15.944 elapsed_ms=1065
[08:01:20] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:21] [极速订场] refill 矩阵完成 fetch_n=51 wall=08:01:17.312 elapsed_ms=1016
[08:01:21] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:23] [极速订场] refill 矩阵完成 fetch_n=52 wall=08:01:18.986 elapsed_ms=1319
[08:01:23] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:25] [极速订场] refill 矩阵完成 fetch_n=53 wall=08:01:20.388 elapsed_ms=1048
[08:01:25] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:26] [极速订场] refill 矩阵完成 fetch_n=54 wall=08:01:21.890 elapsed_ms=1150
[08:01:26] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:27] [极速订场] refill 矩阵完成 fetch_n=55 wall=08:01:23.166 elapsed_ms=921
[08:01:27] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:29] [极速订场] refill 矩阵完成 fetch_n=56 wall=08:01:24.647 elapsed_ms=1128
[08:01:29] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:30] [极速订场] refill 矩阵完成 fetch_n=57 wall=08:01:25.989 elapsed_ms=988
[08:01:30] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:31] [极速订场] refill 矩阵完成 fetch_n=58 wall=08:01:27.228 elapsed_ms=885
[08:01:31] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:33] [极速订场] refill 矩阵完成 fetch_n=59 wall=08:01:28.436 elapsed_ms=854
[08:01:33] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:34] [极速订场] refill 矩阵完成 fetch_n=60 wall=08:01:29.682 elapsed_ms=895
[08:01:34] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:35] [极速订场] refill 矩阵完成 fetch_n=61 wall=08:01:31.156 elapsed_ms=1120
[08:01:35] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:37] [极速订场] refill 矩阵完成 fetch_n=62 wall=08:01:32.875 elapsed_ms=1364
[08:01:37] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:39] [极速订场] refill 矩阵完成 fetch_n=63 wall=08:01:34.628 elapsed_ms=1398
[08:01:39] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:40] [极速订场] refill 矩阵完成 fetch_n=64 wall=08:01:36.265 elapsed_ms=1284
[08:01:40] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:42] [极速订场] refill 矩阵完成 fetch_n=65 wall=08:01:37.510 elapsed_ms=892
[08:01:42] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:43] [极速订场] refill 矩阵完成 fetch_n=66 wall=08:01:38.909 elapsed_ms=1045
[08:01:43] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:44] [极速订场] refill 矩阵完成 fetch_n=67 wall=08:01:40.122 elapsed_ms=858
[08:01:44] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:46] [极速订场] refill 矩阵完成 fetch_n=68 wall=08:01:41.795 elapsed_ms=1319
[08:01:46] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:47] [极速订场] refill 矩阵完成 fetch_n=69 wall=08:01:43.196 elapsed_ms=1047
[08:01:47] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:49] [极速订场] refill 矩阵完成 fetch_n=70 wall=08:01:44.603 elapsed_ms=1053
[08:01:49] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:50] [极速订场] refill 矩阵完成 fetch_n=71 wall=08:01:46.053 elapsed_ms=1095
[08:01:50] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:52] [极速订场] refill 矩阵完成 fetch_n=72 wall=08:01:47.553 elapsed_ms=1146
[08:01:52] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:53] [极速订场] refill 矩阵完成 fetch_n=73 wall=08:01:49.061 elapsed_ms=1156
[08:01:53] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:55] [极速订场] refill 矩阵完成 fetch_n=74 wall=08:01:50.454 elapsed_ms=1040
[08:01:55] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:56] [极速订场] refill 矩阵完成 fetch_n=75 wall=08:01:52.020 elapsed_ms=1212
[08:01:56] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:58] [极速订场] refill 矩阵完成 fetch_n=76 wall=08:01:53.517 elapsed_ms=1143
[08:01:58] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:01:59] [极速订场] refill 矩阵完成 fetch_n=77 wall=08:01:55.041 elapsed_ms=1170
[08:01:59] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:00] [极速订场] refill 矩阵完成 fetch_n=78 wall=08:01:56.228 elapsed_ms=834
[08:02:00] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:02] [极速订场] refill 矩阵完成 fetch_n=79 wall=08:01:57.488 elapsed_ms=906
[08:02:02] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:03] [极速订场] refill 矩阵完成 fetch_n=80 wall=08:01:58.598 elapsed_ms=755
[08:02:03] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:04] [极速订场] refill 矩阵完成 fetch_n=81 wall=08:01:59.770 elapsed_ms=818
[08:02:04] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:05] [极速订场] refill 矩阵完成 fetch_n=82 wall=08:02:01.056 elapsed_ms=932
[08:02:05] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:06] [极速订场] refill 矩阵完成 fetch_n=83 wall=08:02:02.280 elapsed_ms=870
[08:02:06] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:08] [极速订场] refill 矩阵完成 fetch_n=84 wall=08:02:04.055 elapsed_ms=1422
[08:02:08] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:10] [极速订场] refill 矩阵完成 fetch_n=85 wall=08:02:05.467 elapsed_ms=1058
[08:02:10] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:11] [极速订场] refill 矩阵完成 fetch_n=86 wall=08:02:07.101 elapsed_ms=1280
[08:02:11] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:13] [极速订场] refill 矩阵完成 fetch_n=87 wall=08:02:08.393 elapsed_ms=938
[08:02:13] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:14] [极速订场] refill 矩阵完成 fetch_n=88 wall=08:02:09.699 elapsed_ms=951
[08:02:14] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:15] [极速订场] refill 矩阵完成 fetch_n=89 wall=08:02:11.032 elapsed_ms=978
[08:02:15] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:17] [极速订场] refill 矩阵完成 fetch_n=90 wall=08:02:12.606 elapsed_ms=1221
[08:02:17] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:18] [极速订场] refill 矩阵完成 fetch_n=91 wall=08:02:14.027 elapsed_ms=1068
[08:02:18] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:19] [极速订场] refill 矩阵完成 fetch_n=92 wall=08:02:15.166 elapsed_ms=785
[08:02:19] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:21] [极速订场] refill 矩阵完成 fetch_n=93 wall=08:02:16.813 elapsed_ms=1293
[08:02:21] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:22] [极速订场] refill 矩阵完成 fetch_n=94 wall=08:02:18.162 elapsed_ms=995
[08:02:22] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:24] [极速订场] refill 矩阵完成 fetch_n=95 wall=08:02:19.647 elapsed_ms=1130
[08:02:24] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:25] [极速订场] refill 矩阵完成 fetch_n=96 wall=08:02:20.902 elapsed_ms=902
[08:02:25] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:26] [极速订场] refill 矩阵完成 fetch_n=97 wall=08:02:22.233 elapsed_ms=977
[08:02:26] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:28] [极速订场] refill 矩阵完成 fetch_n=98 wall=08:02:23.629 elapsed_ms=1042
[08:02:28] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:29] [极速订场] refill 矩阵完成 fetch_n=99 wall=08:02:24.856 elapsed_ms=873
[08:02:29] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:31] [极速订场] refill 矩阵完成 fetch_n=100 wall=08:02:26.431 elapsed_ms=1221
[08:02:31] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:32] [极速订场] refill 矩阵完成 fetch_n=101 wall=08:02:27.722 elapsed_ms=937
[08:02:32] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:33] [极速订场] refill 矩阵完成 fetch_n=102 wall=08:02:28.804 elapsed_ms=728
[08:02:33] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:34] [极速订场] refill 矩阵完成 fetch_n=103 wall=08:02:29.984 elapsed_ms=828
[08:02:34] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:35] [极速订场] refill 矩阵完成 fetch_n=104 wall=08:02:31.144 elapsed_ms=806
[08:02:35] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:37] [极速订场] refill 矩阵完成 fetch_n=105 wall=08:02:32.533 elapsed_ms=1035
[08:02:37] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:38] [极速订场] refill 矩阵完成 fetch_n=106 wall=08:02:34.100 elapsed_ms=1214
[08:02:38] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:40] [极速订场] refill 矩阵完成 fetch_n=107 wall=08:02:35.915 elapsed_ms=1463
[08:02:40] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:42] [极速订场] refill 矩阵完成 fetch_n=108 wall=08:02:37.530 elapsed_ms=1261
[08:02:42] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:43] [极速订场] refill 矩阵完成 fetch_n=109 wall=08:02:39.154 elapsed_ms=1272
[08:02:43] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:44] [极速订场] refill 矩阵完成 fetch_n=110 wall=08:02:40.292 elapsed_ms=783
[08:02:44] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:46] [极速订场] refill 矩阵完成 fetch_n=111 wall=08:02:41.542 elapsed_ms=896
[08:02:46] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:47] [极速订场] refill 矩阵完成 fetch_n=112 wall=08:02:42.675 elapsed_ms=780
[08:02:47] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:48] [极速订场] refill 矩阵完成 fetch_n=113 wall=08:02:43.978 elapsed_ms=950
[08:02:48] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:50] [极速订场] refill 矩阵完成 fetch_n=114 wall=08:02:45.684 elapsed_ms=1352
[08:02:50] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:51] [极速订场] refill 矩阵完成 fetch_n=115 wall=08:02:47.012 elapsed_ms=974
[08:02:51] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:53] [极速订场] refill 矩阵完成 fetch_n=116 wall=08:02:48.534 elapsed_ms=1168
[08:02:53] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:54] [极速订场] refill 矩阵完成 fetch_n=117 wall=08:02:50.104 elapsed_ms=1217
[08:02:54] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:56] [极速订场] refill 矩阵完成 fetch_n=118 wall=08:02:51.792 elapsed_ms=1334
[08:02:56] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:57] [极速订场] refill 矩阵完成 fetch_n=119 wall=08:02:53.172 elapsed_ms=1026
[08:02:57] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:02:59] [极速订场] refill 矩阵完成 fetch_n=120 wall=08:02:54.607 elapsed_ms=1070
[08:02:59] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:03:00] [极速订场] refill 矩阵完成 fetch_n=121 wall=08:02:55.974 elapsed_ms=1013
[08:03:00] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
